HomeTeam,AwayTeam,HomeGoals,AwayGoals
Northern Ireland,Estonia,2,0
Netherlands,Belarus,4,0
Croatia,Azerbaijan,2,1
Slovakia,Hungary,2,0
Austria,Poland,0,1
North Macedonia,Latvia,3,1
Israel,Slovenia,1,1
Cyprus,San Marino,5,0
Belgium,Russia,3,1
Kazakhstan,Scotland,3,0
Bulgaria,Montenegro,1,1
England,Czech Republic,5,0
Portugal,Ukraine,0,0
Luxembourg,Lithuania,2,1
Albania,Turkey,0,2
Andorra,Iceland,0,2
Moldova,France,1,4
Georgia,Switzerland,0,2
Gibraltar,Republic of Ireland,0,1
Malta,Faroe Islands,2,1
Sweden,Romania,2,1
Spain,Norway,2,1
Bosnia and Herzegovina,Armenia,2,1
Italy,Finland,2,0
Liechtenstein,Greece,0,2
Northern Ireland,Belarus,2,1
Netherlands,Germany,2,3
Wales,Slovakia,1,0
Hungary,Croatia,2,1
Israel,Austria,4,2
Poland,Latvia,2,0
Slovenia,North Macedonia,1,1
San Marino,Scotland,0,2
Kazakhstan,Russia,0,4
Cyprus,Belgium,0,2
Kosovo,Bulgaria,1,1
Montenegro,England,1,5
Portugal,Serbia,1,1
Luxembourg,Ukraine,1,2
Turkey,Moldova,4,0
Andorra,Albania,0,3
France,Iceland,4,0
Republic of Ireland,Georgia,1,0
Switzerland,Denmark,3,3
Malta,Spain,0,2
Norway,Sweden,3,3
Romania,Faroe Islands,4,1
Bosnia and Herzegovina,Greece,2,2
Italy,Liechtenstein,6,0
Armenia,Finland,0,2
Czech Republic,Bulgaria,2,1
Montenegro,Kosovo,1,1
Lithuania,Luxembourg,1,1
Ukraine,Serbia,5,0
Georgia,Gibraltar,3,0
Denmark,Republic of Ireland,1,1
Faroe Islands,Spain,1,4
Norway,Romania,2,2
Sweden,Malta,3,0
Austria,Slovenia,1,0
North Macedonia,Poland,0,1
Latvia,Israel,0,3
Estonia,Northern Ireland,1,2
Belarus,Germany,0,2
Croatia,Wales,2,1
Azerbaijan,Hungary,1,3
Iceland,Albania,1,0
Moldova,Andorra,1,0
Turkey,France,2,0
Russia,San Marino,9,0
Scotland,Cyprus,2,1
Belgium,Kazakhstan,3,0
Finland,Bosnia and Herzegovina,2,0
Armenia,Liechtenstein,3,0
Greece,Italy,0,3
Czech Republic,Montenegro,3,0
Bulgaria,Kosovo,2,3
Serbia,Lithuania,4,1
Ukraine,Luxembourg,1,0
Republic of Ireland,Gibraltar,2,0
Denmark,Georgia,5,1
Faroe Islands,Norway,0,2
Malta,Romania,0,4
Spain,Sweden,3,0
North Macedonia,Austria,1,4
Poland,Israel,4,0
Latvia,Slovenia,0,5
Germany,Estonia,8,0
Belarus,Northern Ireland,0,1
Azerbaijan,Slovakia,1,5
Hungary,Wales,1,0
Iceland,Turkey,2,1
Albania,Moldova,2,0
Andorra,France,0,4
Kazakhstan,San Marino,4,0
Belgium,Scotland,3,0
Russia,Cyprus,1,0
Italy,Bosnia and Herzegovina,2,1
Liechtenstein,Finland,0,2
Greece,Armenia,2,3
Republic of Ireland,Switzerland,1,1
Gibraltar,Denmark,0,6
Faroe Islands,Sweden,0,4
Norway,Malta,2,0
Romania,Spain,1,2
Israel,North Macedonia,1,1
Armenia,Italy,1,3
Bosnia and Herzegovina,Liechtenstein,5,0
Finland,Greece,1,0
Estonia,Belarus,1,2
Germany,Netherlands,2,4
Wales,Azerbaijan,2,1
Slovakia,Croatia,0,4
Austria,Latvia,6,0
Slovenia,Poland,2,0
Cyprus,Kazakhstan,1,1
Scotland,Russia,1,2
San Marino,Belgium,0,4
Kosovo,Czech Republic,2,1
England,Bulgaria,4,0
Lithuania,Ukraine,0,3
Serbia,Portugal,2,4
Iceland,Moldova,3,0
France,Albania,4,1
Turkey,Andorra,1,0
Switzerland,Gibraltar,4,0
Georgia,Denmark,0,0
Romania,Malta,1,0
Spain,Faroe Islands,4,0
Sweden,Norway,1,1
Armenia,Bosnia and Herzegovina,4,2
Finland,Italy,1,2
Greece,Liechtenstein,1,1
Northern Ireland,Germany,0,2
Estonia,Netherlands,0,4
Azerbaijan,Croatia,1,1
Hungary,Slovakia,1,2
Poland,Austria,0,0
Slovenia,Israel,3,2
Latvia,North Macedonia,0,2
Scotland,Belgium,0,4
Russia,Kazakhstan,1,0
San Marino,Cyprus,0,4
England,Kosovo,5,3
Montenegro,Czech Republic,0,3
Luxembourg,Serbia,1,3
Lithuania,Portugal,1,5
Albania,Iceland,4,2
France,Andorra,3,0
Moldova,Turkey,0,4
Belarus,Estonia,0,0
Netherlands,Northern Ireland,3,1
Croatia,Hungary,3,0
Slovakia,Wales,1,1
Austria,Israel,3,1
North Macedonia,Slovenia,2,1
Latvia,Poland,0,3
Kazakhstan,Cyprus,1,2
Belgium,San Marino,9,0
Russia,Scotland,4,0
Czech Republic,England,2,1
Montenegro,Bulgaria,0,0
Portugal,Luxembourg,3,0
Ukraine,Lithuania,2,0
Iceland,France,0,1
Andorra,Moldova,1,0
Turkey,Albania,1,0
Georgia,Republic of Ireland,0,0
Denmark,Switzerland,1,0
Faroe Islands,Romania,0,3
Malta,Sweden,0,4
Norway,Spain,1,1
Bosnia and Herzegovina,Finland,4,1
Italy,Greece,2,0
Belarus,Netherlands,1,2
Estonia,Germany,0,3
Hungary,Azerbaijan,1,0
Wales,Croatia,1,1
Poland,North Macedonia,2,0
Slovenia,Austria,0,1
Scotland,San Marino,6,0
Cyprus,Russia,0,5
Kazakhstan,Belgium,0,2
Kosovo,Montenegro,2,0
Bulgaria,England,0,6
Lithuania,Serbia,1,2
Ukraine,Portugal,2,1
Iceland,Andorra,2,0
France,Turkey,1,1
Moldova,Albania,0,4
Gibraltar,Georgia,2,3
Switzerland,Republic of Ireland,2,0
Faroe Islands,Malta,1,0
Sweden,Spain,1,1
Romania,Norway,1,1
Israel,Latvia,3,1
Finland,Armenia,3,0
Liechtenstein,Italy,0,5
Greece,Bosnia and Herzegovina,2,1
England,Montenegro,7,0
Czech Republic,Kosovo,2,1
Portugal,Lithuania,6,0
Serbia,Luxembourg,3,2
Turkey,Iceland,0,0
Albania,Andorra,2,2
France,Moldova,2,1
Denmark,Gibraltar,6,0
Switzerland,Georgia,1,0
Norway,Faroe Islands,4,0
Spain,Malta,7,0
Romania,Sweden,0,2
Finland,Liechtenstein,3,0
Bosnia and Herzegovina,Italy,0,3
Armenia,Greece,0,1
Northern Ireland,Netherlands,0,0
Germany,Belarus,4,0
Croatia,Slovakia,3,1
Azerbaijan,Wales,0,2
Slovenia,Latvia,1,0
Austria,North Macedonia,2,1
Israel,Poland,1,2
Cyprus,Scotland,1,2
San Marino,Kazakhstan,1,3
Russia,Belgium,1,4
Kosovo,England,0,4
Bulgaria,Czech Republic,1,0
Luxembourg,Portugal,0,2
Serbia,Ukraine,2,2
Albania,France,0,2
Andorra,Turkey,0,2
Moldova,Iceland,1,2
Republic of Ireland,Denmark,1,1
Gibraltar,Switzerland,1,6
Malta,Norway,1,2
Spain,Romania,5,0
Sweden,Faroe Islands,3,0
Italy,Armenia,9,1
Liechtenstein,Bosnia and Herzegovina,0,3
Greece,Finland,2,1
Germany,Northern Ireland,6,1
Netherlands,Estonia,5,0
Wales,Hungary,2,0
Slovakia,Azerbaijan,2,0
North Macedonia,Israel,1,0
Poland,Slovenia,3,2
Latvia,Austria,1,0
Scotland,Kazakhstan,3,1
Belgium,Cyprus,6,1
San Marino,Russia,0,5
