Player,Position,Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,Assists per 90 minutes,G+A per 90 minutes,Non-Penalty Goals per 90 minutes,Non-Penalty G+A per 90 minutes,Team,,,,,,
Alex Meret,GK,23,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Salvatore Sirigu,GK,34,4,4,346,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Gianluigi Donnarumma,GK,21,4,4,357,4,0,0,0,0,0,1,0,0,0,0,0,0,Italy,,,,,,
Leonardo Spinazzola,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Francesco Acerbi,DF,32,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Italy,,,,,,
Leonardo Bonucci,DF,33,8,7,611,6.8,1,3,1,0,0,1,0,0.15,0.44,0.59,0.15,0.59,Italy,,,,,,
Giorgio Chiellini,DF,36,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Giovanni Di Lorenzo,DF,27,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Italy,,,,,,
Leonardo Spinazzola,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Giovanni Di Lorenzo,DF,27,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Italy,,,,,,
Emerson Palmieri,DF,26,5,5,344,3.8,0,2,0,0,0,0,0,0,0.52,0.52,0,0.52,Italy,,,,,,
Bryan Cristante,MF,25,1,1,90,1,0,1,0,0,0,0,0,0,1,1,0,1,Italy,,,,,,
Stefano Sensi,MF,25,2,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Italy,,,,,,
Marco Verratti,MF,28,5,5,440,4.9,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Italy,,,,,,
Nicolò Barella,MF,23,7,7,559,6.2,2,2,2,0,0,1,0,0.32,0.32,0.64,0.32,0.64,Italy,,,,,,
Jorginho,MF,29,7,7,630,7,3,1,0,3,3,2,0,0.43,0.14,0.57,0,0.14,Italy,,,,,,
Lorenzo Pellegrini,FW,24,3,1,130,1.4,1,0,1,0,0,0,0,0.69,0,0.69,0.69,0.69,Italy,,,,,,
Ciro Immobile,FW,30,3,3,243,2.7,3,1,3,0,0,0,0,1.11,0.37,1.48,1.11,1.48,Italy,,,,,,
Lorenzo Insigne,FW,29,4,4,355,3.9,3,1,3,0,0,0,0,0.76,0.25,1.01,0.76,1.01,Italy,,,,,,
Federico Bernardeschi,FW,26,7,4,386,4.3,2,1,2,0,0,1,0,0.47,0.23,0.7,0.47,0.7,Italy,,,,,,
Andrea Belotti,FW,27,7,4,391,4.3,5,2,5,0,0,0,0,1.15,0.46,1.61,1.15,1.61,Italy,,,,,,
Federico Chiesa,FW,23,6,5,394,4.4,1,3,1,0,0,0,0,0.23,0.69,0.91,0.23,0.91,Italy,,,,,,
Altay Bay?nd?r,GK,22,0,0,,,,,,,,,,,,,,,Turkey,,,,,,
U?urcan Çak?r,GK,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,,,,,,
Mert Günok,GK,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,,,,,,
Mert Müldür,DF,21,0,0,,,,,,,,,,,,,,,Turkey,,,,,,
Y?ld?r?m Mert Çetin,DF,24,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Turkey,,,,,,
