Player,Team,Goals per 90 minutes,Assists per 90 minutes,Total Goal Contribution Percent,Total Goal Contribution,Total Assists Contribution Percent,Total Assists Contribution
Enes Ünal,Turkey,2,0,34.72,0.26,0,0
Deniz Turuc,Turkey,1,0,17.36,0.13,0,0
Cenk Tosun,Turkey,0.96,0,16.67,0.13,0,0
Cengiz Ünder,Turkey,0.55,0,9.55,0.07,0,0
Dorukhan Toköz,Turkey,0.35,0.69,6.08,0.05,39.43,0.3
Yusuf Yazıcı,Turkey,0.34,0.34,5.9,0.04,19.43,0.15
Ozan Tufan,Turkey,0.16,0,2.78,0.02,0,0
Mahmut Tekdemir,Turkey,0,0,0,0,0,0
Kenan Karaman,Turkey,0,0,0,0,0,0
Uğurcan Çakır,Turkey,0,0,0,0,0,0
İrfan Kahveci,Turkey,0,0.21,0,0,12,0.09
Okay Yokuşlu,Turkey,0,0,0,0,0,0
Hakan Çalhanoğlu,Turkey,0,0.38,0,0,21.71,0.16
Emre Kılınç,Turkey,0,0,0,0,0,0
Ahmed Kutucu,Turkey,0,0,0,0,0,0
Emre Belözoğlu,Turkey,0,0,0,0,0,0
Ömer Bayram,Turkey,0,0,0,0,0,0
Mert Günok,Turkey,0,0,0,0,0,0
Nazim Sangaré,Turkey,0,0,0,0,0,0
Stephan El Shaarawy,Italy,2.05,2.05,17.51,0.27,18.54,0.28
Riccardo Orsolini,Italy,2,2,17.08,0.26,18.08,0.28
Andrea Belotti,Italy,1.15,0.46,9.82,0.15,4.16,0.06
Nicolò Zaniolo,Italy,1.15,0.58,9.82,0.15,5.24,0.08
Ciro Immobile,Italy,1.11,0.37,9.48,0.15,3.35,0.05
Lorenzo Insigne,Italy,0.76,0.25,6.49,0.1,2.26,0.03
Federico Bernardeschi,Italy,0.47,0.23,4.01,0.06,2.08,0.03
Jorginho,Italy,0.43,0.14,3.67,0.06,1.27,0.02
Nicolò Barella,Italy,0.32,0.32,2.73,0.04,2.89,0.04
Federico Chiesa,Italy,0.23,0.69,1.96,0.03,6.24,0.1
Leonardo Bonucci,Italy,0.15,0.44,1.28,0.02,3.98,0.06
Vincenzo Grifo,Italy,0,1,0,0,9.04,0.14
Kevin Lasagna,Italy,0,0,0,0,0,0
Cedric Itten,Switzerland,2.45,0.82,30.9,0.24,13.18,0.1
Steven Zuber,Switzerland,1,0,12.61,0.1,0,0
Mario Gavranović,Switzerland,0.95,0,11.98,0.09,0,0
Christian Fassnacht,Switzerland,0.87,0.87,10.97,0.09,13.99,0.11
Loris Benito,Switzerland,0.58,1.17,7.31,0.06,18.81,0.15
Ruben Vargas,Switzerland,0.51,0.51,6.43,0.05,8.2,0.06
Admir Mehmedi,Switzerland,0.45,0.9,5.67,0.04,14.47,0.11
Denis Zakaria,Switzerland,0.3,0.15,3.78,0.03,2.41,0.02
Fabian Schär,Switzerland,0.2,0.2,2.52,0.02,3.22,0.02
Granit Xhaka,Switzerland,0.15,0.15,1.89,0.01,2.41,0.02
Josip Drmić,Switzerland,0,0,0,0,0,0
Breel Embolo,Switzerland,0,0.45,0,0,7.23,0.06
Albian Ajeti,Switzerland,0,0,0,0,0,0
Yann Sommer,Switzerland,0,0,0,0,0,0
Edimilson Fernandes,Switzerland,0,0,0,0,0,0
Remo Freuler,Switzerland,0,0,0,0,0,0
Eray Cömert,Switzerland,0,0,0,0,0,0
Michael Lang,Switzerland,0,1,0,0,16.08,0.12
Aaron Ramsey,Wales,1.49,0,46.71,0.21,0,0
Kieffer Moore,Wales,0.51,0.25,15.99,0.07,28.41,0.13
Gareth Bale,Wales,0.26,0.13,8.15,0.04,14.77,0.07
Harry Wilson,Wales,0.23,0.23,7.21,0.03,26.14,0.12
Daniel James,Wales,0.13,0.13,4.08,0.02,14.77,0.07
Tom Lawrence,Wales,0,0,0,0,0,0
Sam Vokes,Wales,0,0,0,0,0,0
Tyler Roberts,Wales,0,0,0,0,0,0
Joe Allen,Wales,0,0,0,0,0,0
Ethan Ampadu,Wales,0,0,0,0,0,0
Joe Morrell,Wales,0,0,0,0,0,0
Matthew Smith,Wales,0,0,0,0,0,0
Jonny Williams,Wales,0,0,0,0,0,0
Neil Taylor,Wales,0,0,0,0,0,0
Will Vaulks,Wales,0,0,0,0,0,0
Rabbi Matondo,Wales,0,0,0,0,0,0
Christian Gytkjær,Denmark,1.32,0,25.53,0.3,0,0
Robert Skov,Denmark,1.12,0.75,21.66,0.26,25.25,0.3
Christian Eriksen,Denmark,0.71,0.43,13.73,0.16,14.48,0.17
Kasper Dolberg,Denmark,0.65,0.33,12.57,0.15,11.11,0.13
Martin Braithwaite,Denmark,0.62,0,11.99,0.14,0,0
Yussuf Poulsen,Denmark,0.36,0,6.96,0.08,0,0
Pierre Højbjerg,Denmark,0.22,0,4.26,0.05,0,0
Thomas Delaney,Denmark,0.17,0,3.29,0.04,0,0
Jens Stryger Larsen,Denmark,0,0.15,0,0,5.05,0.06
Simon Kjær,Denmark,0,0.33,0,0,11.11,0.13
Peter Ankersen,Denmark,0,0,0,0,0,0
Lasse Schöne,Denmark,0,0.3,0,0,10.1,0.12
Andreas Christensen,Denmark,0,0,0,0,0,0
Henrik Dalsgaard,Denmark,0,0.25,0,0,8.42,0.1
Mathias Jørgensen,Denmark,0,0,0,0,0,0
Nicolai Jørgensen,Denmark,0,0,0,0,0,0
Andreas Cornelius,Denmark,0,0,0,0,0,0
Daniel Wass,Denmark,0,0.43,0,0,14.48,0.17
Kasper Schmeichel,Denmark,0,0,0,0,0,0
Fredrik Jensen,Finland,1.29,0,26.01,0.19,0,0
Joel Pohjanpalo,Finland,1.08,1.08,21.77,0.16,50.23,0.36
Benjamin Källman,Finland,1,0,20.16,0.15,0,0
Jasse Tuominen,Finland,0.32,0,6.45,0.05,0,0
Lukáš Hrádecký,Finland,0,0,0,0,0,0
Robin Lod,Finland,0,0.25,0,0,11.63,0.08
Glen Kamara,Finland,0,0,0,0,0,0
Tim Sparv,Finland,0,0,0,0,0,0
Pyry Soiri,Finland,0,0,0,0,0,0
Lassi Lappalainen,Finland,0,0.38,0,0,17.67,0.13
Joni Kauko,Finland,0,0,0,0,0,0
Rasmus Schüller,Finland,0,0.44,0,0,20.47,0.15
Jesse Joronen,Finland,0,0,0,0,0,0
Petteri Forsell,Finland,0,0,0,0,0,0
Rasmus Karjalainen,Finland,0,0,0,0,0,0
Thomas Lam,Finland,0,0,0,0,0,0
Joona Toivio,Finland,0,0,0,0,0,0
Jukka Raitala,Finland,0,0,0,0,0,0
Jere Uronen,Finland,0,0,0,0,0,0
Fyodor Smolov,Russia,5.81,0,45.04,0.63,0,0
Nikolay Komlichenko,Russia,2.25,0,17.44,0.24,0,0
Denis Cheryshev,Russia,1.07,1.07,8.29,0.12,26.68,0.37
Artem Dzyuba,Russia,1.02,0.51,7.91,0.11,12.72,0.18
Sergei Petrov,Russia,0.41,0.83,3.18,0.04,20.7,0.29
Aleksei Miranchuk,Russia,0.37,0,2.87,0.04,0,0
Aleksei Ionov,Russia,0.34,0,2.64,0.04,0,0
Aleksandr Golovin,Russia,0.32,0.63,2.48,0.03,15.71,0.22
Magomed Ozdoyev,Russia,0.26,0.13,2.02,0.03,3.24,0.05
Mário Fernandes,Russia,0.17,0.17,1.32,0.02,4.24,0.06
Fyodor Kudryashov,Russia,0.16,0.16,1.24,0.02,3.99,0.06
Dmitri Barinov,Russia,0,0,0,0,0,0
Guilherme Marinato,Russia,0,0,0,0,0,0
Ilzat Akhmetov,Russia,0,0,0,0,0,0
Roman Zobnin,Russia,0,0,0,0,0,0
Anton Miranchuk,Russia,0,0.51,0,0,12.72,0.18
Zelimkhan Bakayev,Russia,0,0,0,0,0,0
Yuri Zhirkov,Russia,0,0,0,0,0,0
Christian Benteke,Belgium,2.52,0,21.76,0.42,0,0
Romelu Lukaku,Belgium,1.57,0.67,13.56,0.26,9.41,0.18
Michy Batshuayi,Belgium,1.35,0,11.66,0.23,0,0
Nacer Chadli,Belgium,0.9,0.45,7.77,0.15,6.32,0.12
Kevin De Bruyne,Belgium,0.75,1.32,6.48,0.13,18.54,0.36
Timothy Castagne,Belgium,0.67,0.33,5.79,0.11,4.63,0.09
Dries Mertens,Belgium,0.43,0.64,3.71,0.07,8.99,0.17
Yannick Carrasco,Belgium,0.38,1.53,3.28,0.06,21.49,0.42
Eden Hazard,Belgium,0.37,1.3,3.2,0.06,18.26,0.36
Thomas Meunier,Belgium,0.25,0,2.16,0.04,0,0
Thorgan Hazard,Belgium,0.2,0,1.73,0.03,0,0
Youri Tielemans,Belgium,0.18,0.18,1.55,0.03,2.53,0.05
Dennis Praet,Belgium,0,0.7,0,0,9.83,0.19
Axel Witsel,Belgium,0,0,0,0,0,0
Guido Burgstaller,Austria,3.91,0,58.8,0.66,0,0
Marko Arnautović,Austria,0.68,0.34,10.23,0.11,17.99,0.2
Michael Gregoritsch,Austria,0.44,0.44,6.62,0.07,23.28,0.26
Valentino Lazaro,Austria,0.31,0.16,4.66,0.05,8.47,0.09
Marcel Sabitzer,Austria,0.3,0.15,4.51,0.05,7.94,0.09
David Alaba,Austria,0.25,0,3.76,0.04,0,0
Stefan Lainer,Austria,0.2,0.2,3.01,0.03,10.58,0.12
Konrad Laimer,Austria,0.15,0.46,2.26,0.03,24.34,0.27
Karim Onisiwo,Austria,0,0,0,0,0,0
Lukas Hinterseer,Austria,0,0,0,0,0,0
Florian Kainz,Austria,0,0,0,0,0,0
Julian Baumgartlinger,Austria,0,0,0,0,0,0
Stefan Ilsanker,Austria,0,0,0,0,0,0
Alexander Schlager,Austria,0,0,0,0,0,0
Xaver Schlager,Austria,0,0,0,0,0,0
Pavao Pervan,Austria,0,0,0,0,0,0
Florian Grillitsch,Austria,0,0,0,0,0,0
Thomas Goiginger,Austria,0,0,0,0,0,0
Vlatko Stojanovski,NorthMacedonia,0.65,0,37.36,0.24,0,0
Goran Pandev,NorthMacedonia,0.27,0.13,15.52,0.1,13.13,0.09
Elif Elmas,NorthMacedonia,0.23,0.12,13.22,0.09,12.12,0.08
Arijan Ademi,NorthMacedonia,0.18,0.18,10.34,0.07,18.18,0.12
Boban Nikolov,NorthMacedonia,0.14,0,8.05,0.05,0,0
Enis Bardhi,NorthMacedonia,0.14,0.29,8.05,0.05,29.29,0.19
Stole Dimitrievski,NorthMacedonia,0,0,0,0,0,0
Tihomir Kostadinov,NorthMacedonia,0,0,0,0,0,0
