Player,Position,Team,Minutes Played,Goals per 90 minutes,Assists per 90 minutes,Average Goal Contribution Percent,Average Goal Contribution,Average Assists Contribution Percent,Average Assists Contribution
Andrea Belotti,FW,Italy,391,1.15,0.46,22.33,0.34,10.41,0.16
Ciro Immobile,FW,Italy,243,1.11,0.37,21.55,0.33,8.37,0.13
Lorenzo Insigne,FW,Italy,355,0.76,0.25,14.76,0.23,5.66,0.09
Federico Bernardeschi,FW,Italy,386,0.47,0.23,9.13,0.14,5.2,0.08
Jorginho,MF,Italy,630,0.43,0.14,8.35,0.13,3.17,0.05
Francesco Acerbi,DF,Italy,270,0.33,0,6.41,0.1,0,0
Nicolò Barella,MF,Italy,559,0.32,0.32,6.21,0.1,7.24,0.11
Federico Chiesa,FW,Italy,394,0.23,0.69,4.47,0.07,15.61,0.24
Marco Verratti,MF,Italy,440,0.2,0,3.88,0.06,0,0
Leonardo Bonucci,DF,Italy,611,0.15,0.44,2.91,0.04,9.95,0.15
Salvatore Sirigu,GK,Italy,346,0,0,0,0,0,0
Gianluigi Donnarumma,GK,Italy,357,0,0,0,0,0,0
Giorgio Chiellini,DF,Italy,180,0,0,0,0,0,0
Giovanni Di Lorenzo,DF,Italy,180,0,0.5,0,0,11.31,0.17
Giovanni Di Lorenzo,DF,Italy,180,0,0.5,0,0,11.31,0.17
Emerson Palmieri,DF,Italy,344,0,0.52,0,0,11.76,0.18
Kaan Ayhan,DF,Turkey,447,0.4,0,32,0.24,0,0
Dorukhan Toköz,MF,Turkey,259,0.35,0.69,28,0.21,39.43,0.3
Yusuf Yaz?c?,MF,Turkey,263,0.34,0.34,27.2,0.21,19.43,0.15
Ozan Tufan,MF,Turkey,560,0.16,0,12.8,0.1,0,0
Mert Günok,GK,Turkey,630,0,0,0,0,0,0
Ça?lar Söyüncü,DF,Turkey,315,0,0,0,0,0,0
Umut Mera?,DF,Turkey,420,0,0,0,0,0,0
Zeki Çelik,DF,Turkey,591,0,0,0,0,0,0
Merih Demiral,DF,Turkey,709,0,0.13,0,0,7.43,0.06
?rfan Kahveci,MF,Turkey,425,0,0.21,0,0,12,0.09
Hakan Çalhano?lu,MF,Turkey,470,0,0.38,0,0,21.71,0.16
Kenan Karaman,MF,Turkey,339,0,0,0,0,0,0
Burak Y?lmaz,FW,Turkey,450,0,0,0,0,0,0
Admir Mehmedi,FW,Switzerland,200,0.45,0.9,28.66,0.22,48.65,0.38
Haris Seferovi?,FW,Switzerland,270,0.33,0,21.02,0.16,0,0
Denis Zakaria,MF,Switzerland,599,0.3,0.15,19.11,0.15,8.11,0.06
Fabian Schär,DF,Switzerland,450,0.2,0.2,12.74,0.1,10.81,0.08
Granit Xhaka,MF,Switzerland,613,0.15,0.15,9.55,0.07,8.11,0.06
Ricardo Rodríguez,MF,Switzerland,627,0.14,0,8.92,0.07,0,0
